Article,Keyword
1,Knowledge Graphs
1,RDF
1,RML
2,Data Integration Systems
2,Knowledge Graphs
2,RDF Mapping Languages
3,NLP
3,Entity Linking
3,Relation Linking
3,Background Knowledge
3,Englih morphology
3,DBpedia
3,Wikidata
4,Interpretability
4,Knowledge Graphs
4,Machine Learning Models
4,SHACL
4,Ontologies
5,Inductive Learning
5,Symbolic Learning
5,Knowledge Graphs
6,Knowledge Graphs
6,COVID-19
6,Drug-drug Interactions
7,SHACL Validation
7,Quality Assessment
7,Knowledge Graph Constraints
8,Process-based Data
8,Information Fusion
8,Shape-based Validation Languages
9,Bias
9,Knowledge Graphs
9,Tracing
9,Hybrid AI Systems
10,Research Data Management
10,Knowledge Graphs
10,FAIR Data Principles
